# ----------------------------------------,# ページとスクリーン: ページパス,# アカウント: 株式会社 コモンウェルスエンジニアーズ,# プロパティ: cectokyo.com,# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20251201
# 終了日: 20251231
ページパス,表示回数,ユーザー,平均エンゲージメント時間,直帰率
/,336,245,73.366146996575338,0.29794520547945208
/about/,276,188,144.84802985903082,0.23788546255506607
/contact/,137,112,41.092882633333339,0.24166666666666667
/en/,118,102,21.090382471153841,0.77884615384615385
/business/,94,75,57.3792352345679,0.086419753086419748
/projects/,67,49,19.075291254901959,0.0392156862745098
/career/,60,45,98.528616879999987,0.16
/en/about/,47,34,79.106177244444453,0.24444444444444444
/en/projects/,25,19,66.571071590909085,0.5
/contact-thanks/,24,24,125.06642252,0.04
/news/,24,16,12.061726333333334,0.19047619047619047
/entry/,23,12,112.71018642857143,0.2857142857142857
/en/news/,21,21,12.827951666666669,0.66666666666666663
/projects/page/2/,21,15,17.1698750625,0.0625
/bentley-systems-regional-seminar-2025/,16,16,37.6709408125,0.1875
/en/business/,13,12,71.769196692307688,0.30769230769230771
/en/career/,13,7,60.746253111111109,0.22222222222222221
/en/contact/,12,9,51.893573700000005,0
/en/projects/anesaki-thermal-power-plant/,12,10,6.7776353,0.5
/interview/,11,9,62.16789844444444,0
/privacy/,11,10,4.5867524,0.8
/projects/page/3/,11,6,27.516233833333335,0
/projects/page/4/,10,7,16.798128375,0
/internship-1/,9,7,56.29455188888889,0.22222222222222221
/en/projects/fushiki-manyo-wharf-biomass-power-plant/,8,8,6.5038175,0.875
/aboutus,7,4,3.96870875,0.5
/en/entry/,7,7,18.414696428571428,0.5714285714285714
/en/interview/,7,7,239.90364957142856,0.7142857142857143
/en/meet-daiki-naito-one-of-our-talented-engineers-and-learn-about-his-journey-at-our-company/,7,7,36.802768571428565,0.7142857142857143
/projects/page/5/,7,5,16.532336166666667,0
/en/opening-a-new-office-in-chiba/,6,6,3.9898738333333328,0.83333333333333337
/en/projects/olkaria-project/,6,6,3.4553771666666671,0.83333333333333337
/en/projects/page/45/,6,6,3.2900025,1
/en/採用ページがパワーアップ！hpをリニューアルしま/,6,6,3.661315,0.83333333333333337
/internship-2/,6,4,56.905055833333336,0.16666666666666666
/internship-recruitment-announcement/,6,6,25.848235833333334,0.5
/on-site-classes1/,6,5,118.04368159999999,0
/projects/page/6/,6,5,11.787569499999998,0
/chibaoffice-newopen-recruiting/,5,3,358.11597975,0.5
/en/career,5,5,2.2717988,1
/en/projects/beilun-port-thermal-power-plant/,5,5,0.96043059999999991,1
/en/projects/hydrogenated-petroleum-resin-manufacturing-plant/,5,5,3.6355144000000004,1
/en/projects/onikobe-geothermal-power-plant/,5,5,1.8773264,1
/en/projects/page/2/,5,5,3.0549648,1
/projects/page/45/,5,4,16.79686225,0
/en/contact,4,4,4.88059225,1
/en/privacy,4,4,3.24703075,1
/en/projects/guangzhou-gao-wei-metal-press-industry-extension,4,4,1.21397025,1
/projects/fushiki-manyo-wharf-biomass-power-plant/,4,4,4.877171,0
/en/projects/page/3/,3,3,1.3668449999999999,1
/en/projects/page/44/,3,3,0,1
/projects/chiba-sodegaura-thermal-power-plant/,3,3,5.170094,0
/projects/page/7/,3,3,14.414893333333334,0
/recruitment,3,1,2.3700386666666664,1
/challenge_engineer2/,2,2,70.417968,0.5
/en/on-site-classes2/,2,2,0,1
/en/privacy/,2,2,0.374785,1
/en/projects/fujisawa-city-recycling-center/,2,2,3.9496615,1
/en/projects/qatargas-qgx2-project/,2,2,11.4587575,0.5
/newgraduate,2,2,0,1
/on-site-classes2/,2,2,263.315703,0
/projects/page/42/,2,1,72.232645,0
/projects/page/43/,2,1,24.514546,0
/projects/page/44/,2,1,22.707247,0
/projects/satl-sharp-thailand-plant/,2,2,14.436268,0.5
/projects/second-hydrogen-production-equipment-constructionproject/,2,2,2.87316,0.5
/千葉日建工科生が挑戦！千葉事務所での実務直結/,2,1,14.108022,0
/career/　内藤 大内藤 大暉暉,1,1,3.649378,0
/career/　内藤 大暉,1,1,3.772489,0
/challenge_engineer/,1,1,1789.533276,0
/contact-1,1,1,0,1
/en/interview,1,1,6.623206,1
/en/projects/aisin-guangzhou-auto-parts-plant/,1,1,0,1
/en/projects/aleppo-thermal-power-plant-pipe-station/,1,1,10.900041,0
/en/projects/aleppo-thermal-power-plant-substation-1278mw-2/,1,1,21.15603,0
/en/projects/guangzhou-gao-wei-metal-press-industry-extension/,1,1,1.498694,1
/en/projects/komatsu-refining-suzhou-plant/,1,1,0,1
/en/projects/ln-shimoina-substation/,1,1,6.321499,1
/en/projects/negishi-plant-lng-tank-hemisphere-assembly-building/,1,1,21.585054,0
/en/projects/negishi-refinery-no-3-power-plant-no-2-gas-turbine/,1,1,33.248914,0
/en/projects/nong-chauk-thermal-power-plant/,1,1,5.767838,0
/en/projects/plastic-product-manufacturing-factory/,1,1,3.07453,1
/en/projects/sai-noi-thermal-power-plant/,1,1,157.850125,0
/en/projects/vcm-3-project/,1,1,2.65582,0
/home-eng,1,1,0,1
/news,1,1,3.4779,1
/page/2/,1,1,10.582614,0
/page/24/,1,1,20.001639,0
/page/3/,1,1,10.16013,0
/page/4/,1,1,0.540058,0
/privacy,1,1,6.491783,1
/projects/basic-design-of-kl-garbage-incineration-plant/,1,1,4.180982,0
/projects/co2-physical-absorption-equipmentconstruction-project/,1,1,1.406311,0
/projects/construction-of-new-lng-receiving-facility-factory/,1,1,7.159789,0
/projects/denka-sip-plant-civil-engineering-project/,1,1,15.349904,0
/projects/ginson-cement-manufacturing-plant/,1,1,4.734947,1
/projects/gulf-gsrc-project/,1,1,3.614373,0
/projects/hydrogenated-petroleum-resin-manufacturing-plant/,1,1,0,1
/projects/kashima-minami-joint-power-plant/,1,1,2.931642,0
/projects/keihin-lube-center-outdoor-patch-blender-installation/,1,1,5.061765,0
